Title,URL,TextFile,Status,Reason
Kenya-Vision-2030-Sector-Progress- ...,https://vision2030.go.ke/wp-content/uploads/2018/09/Kenya-Vision-2030-Sector-Progress-Project-Updates-June-2018.pdf,vision2030_go_ke_Kenya_Vision_2030_Sector_Progress_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='vision2030.go.ke', port=443): Max retries exceeded with url: /wp-content/uploads/2018/09/Kenya-Vision-2030-Sector-Progress-Project-Updates-June-2018.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20656CBE0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connecte"
(PDF) Policy Framework for Material Resource Efficiency,https://www.researchgate.net/publication/340940460_Policy_Framework_for_Material_Resource_Efficiency_Pathway_Towards_a_Circular_Economy,www_researchgate_net__PDF_Policy_Framework_for_Material_Resource_Effici.txt,failed,[BLOCKED_403] https://www.researchgate.net/publication/340940460_Policy_Framework_for_Material_Resource_Efficiency_Pathway_Towards_a_Circular_Economy
Circular Economy in Africa-EU Cooperation,https://trinomics.eu/wp-content/uploads/2020/12/Country-Report-Kenya_Final_20122020.pdf,trinomics_eu_Circular_Economy_in_Africa_EU_Cooperation.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='trinomics.eu', port=443): Max retries exceeded with url: /wp-content/uploads/2020/12/Country-Report-Kenya_Final_20122020.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E204426940>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond"
Kenyan-Circular-Economy-trends-opportunities- ...,https://www.sustainableinclusivebusiness.org/wp-content/uploads/2021/05/Kenyan-Circular-Economy-trends-opportunities-27.05.211.pdf,www_sustainableinclusivebusiness_org_Kenyan_Circular_Economy_trends_opportunities_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.sustainableinclusivebusiness.org', port=443): Max retries exceeded with url: /wp-content/uploads/2021/05/Kenyan-Circular-Economy-trends-opportunities-27.05.211.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E217F5A5E0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed b"
Global Framework for Action,https://www.oneplanetnetwork.org/sites/default/files/2025-07/250515-Global%20Framework%20for%20Action_V9.pdf,www_oneplanetnetwork_org_Global_Framework_for_Action.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/sites/default/files/2025-07/250515-Global%20Framework%20for%20Action_V9.pdf
CODES Action Plan for a Sustainable Planet in the Digital Age,https://sustainabilitydigitalage.org/featured/codes-action-plan-for-a-sustainable-planet-in-the-digital-age/,sustainabilitydigitalage_org_CODES_Action_Plan_for_a_Sustainable_Planet_in_the_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='sustainabilitydigitalage.org', port=443): Max retries exceeded with url: /featured/codes-action-plan-for-a-sustainable-planet-in-the-digital-age/ (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E222CA46A0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host "
Unveiling the Future of Sustainable Business through,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/dokumenbappenas/konten/Dokumen%202025/Konten/ENG%20-%20Green%20SMEs%20and%20Net%20Zero-%20Strategic%20Framework%20for%20Indonesia%E2%80%99s%20Climate-Aligned%20Economic%20Transformation%20FINAL%20EBOOK%20(1).pdf,perpustakaan_bappenas_go_id_Unveiling_the_Future_of_Sustainable_Business_throu.txt,failed,[BLOCKED_403] https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/dokumenbappenas/konten/Dokumen%202025/Konten/ENG%20-%20Green%20SMEs%20and%20Net%20Zero-%20Strategic%20Framework%20for%20Indonesia%E2%80%99s%20Climate-Aligned%20Economic%20Transformation%20FINAL%20EBOOK%20(1).pdf
UNEA - BGG (Final,https://www.nmun.org/assets/documents/conference-archives/washington-dc/2025/nmundc25-bgg-unea.pdf,www_nmun_org_UNEA_BGG_Final.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.nmun.org', port=443): Max retries exceeded with url: /assets/documents/conference-archives/washington-dc/2025/nmundc25-bgg-unea.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E207D06700>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed"
Green school quality standard,https://www.unesco.org/sites/default/files/medias/fichiers/2024/09/Green%20school%20quality%20standard%20Greening%20every%20learning%20environment.pdf,www_unesco_org_Green_school_quality_standard.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.unesco.org', port=443): Max retries exceeded with url: /sites/default/files/medias/fichiers/2024/09/Green%20school%20quality%20standard%20Greening%20every%20learning%20environment.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E22B12D850>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established"
EU Ecolabel Product Groups and Criteria - EU Environment,https://environment.ec.europa.eu/topics/circular-economy-topics/eu-ecolabel/product-groups-and-criteria_en,environment_ec_europa_eu_EU_Ecolabel_Product_Groups_and_Criteria_EU_Environ.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='environment.ec.europa.eu', port=443): Max retries exceeded with url: /topics/circular-economy-topics/eu-ecolabel/product-groups-and-criteria_en (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2571949D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host ha"
