Title,URL,TextFile,Status,Reason
Regional Strategy and Action Plan for Mainstreaming ...,https://www.gfdrr.org/sites/default/files/publication/Regional%20Strategy%20and%20Action%20Plan%20for%20Mainstreaming%20Gender%20in%20DRM%20and%20CCA-Final_EN.pdf,www_gfdrr_org_Regional_Strategy_and_Action_Plan_for_Mainstreamin.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Sand and Sustainability: Finding new solutions for ...,https://unepgrid.ch/storage/app/media/documents/Sand_and_sustainability_UNEP_2019.pdf,unepgrid_ch_Sand_and_Sustainability_Finding_new_solutions_for_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya launched the National Climate Change Action Plan ...,https://www.facebook.com/EnvironmentClimateChangeForestryKenya/posts/kenya-launched-the-national-climate-change-action-plan-iii-nccap-2023-2027-as-an/847621324213063/,www_facebook_com_Kenya_launched_the_National_Climate_Change_Action_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Adaptation and development pathways for different types of ...,https://www.sciencedirect.com/science/article/pii/S1462901119305209,www_sciencedirect_com_Adaptation_and_development_pathways_for_different_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
LESSONS IN MULTILATERAL EFFECTIVENESS,https://www.mopan.org/content/dam/mopan/en/publications/our-work/insights/lme-climate/mopan-lme-climate-change-volume2.pdf,www_mopan_org_LESSONS_IN_MULTILATERAL_EFFECTIVENESS.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya's Initial Biennial Update Report,https://unfccc.int/sites/default/files/resource/Initial%20Biennial%20Update%20Report.pdf,unfccc_int_Kenya_s_Initial_Biennial_Update_Report.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
kenya: strengthening institutional arrangements for ...,https://climateactiontransparency.org/resources/kenya-mrv-institutions/,climateactiontransparency_org_kenya_strengthening_institutional_arrangements_for.txt,failed,"[PDF ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya Unveils Comprehensive Legal Framework to ...,https://ndcpartnership.org/news/kenya-unveils-comprehensive-legal-framework-accelerate-climate-action,ndcpartnership_org_Kenya_Unveils_Comprehensive_Legal_Framework_to_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
The United Nations Environmental Program Efforts in ...,https://rsisinternational.org/journals/ijriss/articles/the-united-nations-environmental-program-efforts-in-the-implementation-of-multilateral-environmental-agreements-in-nairobi-city-county-kenya-1992-2022/,rsisinternational_org_The_United_Nations_Environmental_Program_Efforts_i.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya-NCCAP-2023-2027-1.pdf,https://emsi.co.ke/wp-content/uploads/2024/08/Kenya-NCCAP-2023-2027-1.pdf,emsi_co_ke_Kenya_NCCAP_2023_2027_1_pdf.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Adapting to a New Climate,https://www.unepfi.org/wordpress/wp-content/uploads/2022/11/Adapting-to-a-New-Climate.pdf,www_unepfi_org_Adapting_to_a_New_Climate.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Assessing Kenya's Climate Adaptation and Mitigation ...,https://cgspace.cgiar.org/bitstreams/87a088cf-5364-4585-8179-cda154dc9cf2/download,cgspace_cgiar_org_Assessing_Kenya_s_Climate_Adaptation_and_Mitigatio.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
"UNEP, annual report, 2022",https://www.unep.org/annualreport/2022,www_unep_org_UNEP_annual_report_2022.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya backs UNEP's new Medium-Term Strategy to steer ...,https://www.kbc.co.ke/kenya-backs-uneps-new-medium-term-strategy-to-steer-global-environmental-action/,www_kbc_co_ke_Kenya_backs_UNEP_s_new_Medium_Term_Strategy_to_ste.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
In search of a sustainable future: A comparative ...,https://onlinelibrary.wiley.com/doi/full/10.1111/reel.12545,onlinelibrary_wiley_com_In_search_of_a_sustainable_future_A_comparative_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
KENYA'S THIRD NATIONAL COMMUNICATION (NC3),https://unfccc.int/sites/default/files/resource/MoECCF%20Kenya%20National%20Communication.pdf,unfccc_int_KENYA_S_THIRD_NATIONAL_COMMUNICATION_NC3_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
UNEP Medium-Term Strategy,https://www.unep.org/resources/unep-medium-term-strategy,www_unep_org_UNEP_Medium_Term_Strategy.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
UNDP Kenya - CPD 2022-2026,https://www.undp.org/sites/g/files/zskgke326/files/2022-11/UNDP%20Kenya%20-%20CPD%202022-2026%20-14th%20Nov%202022.pdf,www_undp_org_UNDP_Kenya_CPD_2022_2026.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Emissions Gap Report 2022,https://www.unep.org/resources/emissions-gap-report-2022,www_unep_org_Emissions_Gap_Report_2022.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
CLIMATE CHANGE ACTION PLAN 2023 - 2027,https://www.nyeri.go.ke/wp-content/uploads/2025/12/Nyeri-County-CCAP-Report-2023-2027-4.pdf,www_nyeri_go_ke_CLIMATE_CHANGE_ACTION_PLAN_2023_2027.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
National Climate Change Action Plan (NCCAP) III 2023-2027,https://emsi.co.ke/other-publications/national-climate-change-action-plan-nccap-iii-2023-2027/,emsi_co_ke_National_Climate_Change_Action_Plan_NCCAP_III_2023.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya's Adaptation Communication to the United Nations ...,https://unfccc.int/sites/default/files/2025-12/Kenya%27s%20Adcom%20Report%20v6-Jan%202025.pdf,unfccc_int_Kenya_s_Adaptation_Communication_to_the_United_Nat.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
United Nations Kenya Sustainable ...,https://unsdg.un.org/download/5407/74278,unsdg_un_org_United_Nations_Kenya_Sustainable_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
National Climate Change Action Plan-NCCAP 2018-2022 ...,https://kenyaclimatedirectory.org/resources/64f2dcc6e90e3,kenyaclimatedirectory_org_National_Climate_Change_Action_Plan_NCCAP_2018_202.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Strategies for Mainstreaming Climate Action in Ministries of ...,https://www.financeministersforclimate.org/sites/default/files/inline-files/Strategies%20for%20Mainstreaming%20Climate%20Action%20in%20Ministries%20of%20Finance.pdf,www_financeministersforclimate_org_Strategies_for_Mainstreaming_Climate_Action_in_Min.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya's National Climate Change Action Plan 2018-2022,https://www.kenyaclimatedirectory.org/resources/65166a6827794,www_kenyaclimatedirectory_org_Kenya_s_National_Climate_Change_Action_Plan_2018_2.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Let the courts decide? The Potential and Limitations of ...,https://www.idea.int/publications/catalogue/html/let-courts-decide-potential-and-limitations-climate-litigation,www_idea_int_Let_the_courts_decide_The_Potential_and_Limitation.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya's Climate Action Initiatives: Multi-Sectoral ...,https://koreascience.kr/article/JAKO202529636050529.page,koreascience_kr_Kenya_s_Climate_Action_Initiatives_Multi_Sectoral_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Trends in Climate & Legal Action,https://www.linkedin.com/pulse/trends-climate-legal-action-robin-farrell-r3fhf,www_linkedin_com_Trends_in_Climate_Legal_Action.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
"National Environment Policy, 2013",https://faolex.fao.org/docs/pdf/ken147906.pdf,faolex_fao_org_National_Environment_Policy_2013.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
An Inventory of Nature-based Solutions (NbS) in Kenya,https://gca.org/wp-content/uploads/2025/05/26.05.2025.GCA-Kenya-NbS-Compendium-Reco_FINAL.pdf,gca_org_An_Inventory_of_Nature_based_Solutions_NbS_in_Keny.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Emissions Gap Report 2023: Broken Record,https://www.unep.org/interactives/emissions-gap-report/2023/,www_unep_org_Emissions_Gap_Report_2023_Broken_Record.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Fact Sheet 1: Climate change adaptation strategies,https://www.mrcmekong.org/wp-content/uploads/2024/08/Fact-sheets-of-intl-experiences-on-the-formulation-implementation-of-t.pdf,www_mrcmekong_org_Fact_Sheet_1_Climate_change_adaptation_strategies.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Review of the Implementation of Kenya's National ...,https://napglobalnetwork.org/wp-content/uploads/2023/01/napgn-en-2023-review-implementation-kenya-agriculture-national-adaptation-plan-2015-2030.pdf,napglobalnetwork_org_Review_of_the_Implementation_of_Kenya_s_National_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Mainstreaming Climate Action into National Development ...,https://ndcpartnership.org/sites/default/files/2023-12/ndcpresource-briefmainstreaming-climate-development-planning2022.pdf,ndcpartnership_org_Mainstreaming_Climate_Action_into_National_Develop.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
KENYA'S OPEN GOVERNMENT PARTNERSHIP (OGP),https://www.opengovpartnership.org/wp-content/uploads/2024/01/Kenya_Action-Plan_2023-2027_December.pdf,www_opengovpartnership_org_KENYA_S_OPEN_GOVERNMENT_PARTNERSHIP_OGP_.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
